UBIGEO,VIVIENDA,Estatal,EquipoEdu,CalidadEdu,Edad
70102,78,2,5,3,17
150117,5,2,3,3,6
140108,44,2,5,3,17
80703,117,1,3,3,17
120905,7,2,3,3,17
140202,123,1,3,3,10
150133,156,1,2,2,15
150103,59,2,3,3,14
150103,59,2,3,3,10
150105,57,2,3,3,17
150141,38,1,4,4,10
150141,38,1,3,3,12
150141,59,1,3,3,13
150501,80,2,4,3,16
160101,76,1,3,4,16
190111,108,2,3,3,17
210101,80,1,5,3,17
210101,136,1,3,3,14
40102,5,1,3,3,13
40102,5,2,4,4,12
40128,25,2,3,3,17
70101,7,1,3,3,14
70101,19,2,3,3,12
70106,137,2,3,3,16
80601,204,1,5,3,17
150128,73,1,3,3,13
150132,57,1,5,3,7
150132,57,1,3,3,8
150135,66,1,3,3,12
150111,140,1,3,3,14
150111,140,1,3,3,8
220901,66,2,4,4,17
30604,49,1,3,3,9
30604,95,1,3,3,15
30601,76,1,3,3,14
30601,76,1,3,3,12
30601,76,1,3,3,10
30601,77,1,3,3,15
30601,80,1,3,3,12
30601,192,1,3,3,6
30601,193,1,3,3,7
40104,25,2,3,3,9
40104,36,2,4,4,16
40102,1,2,3,3,11
40409,131,1,4,3,17
40115,49,1,3,3,14
40115,49,1,3,3,9
40115,49,1,2,3,7
50101,108,2,3,3,12
61104,64,1,3,3,16
61104,64,1,3,3,12
61104,169,1,3,3,9
61104,177,1,3,3,15
61104,177,1,2,2,9
70101,16,2,3,3,12
70101,121,1,5,3,12
70101,41,2,3,3,9
70101,104,1,3,3,6
80105,44,1,5,3,15
80105,44,1,5,3,13
80105,179,2,4,4,14
90116,139,1,3,5,12
100801,3,2,3,3,11
100801,3,2,3,3,8
100801,84,1,3,3,17
110201,13,1,2,3,7
110201,99,2,3,3,13
110104,107,1,3,3,9
110104,107,1,3,4,7
120903,52,1,3,3,15
120903,52,1,3,3,12
120903,121,1,3,3,9
120903,123,1,3,3,15
120903,123,1,3,3,13
120903,124,1,3,3,10
120903,124,1,3,3,10
120903,125,1,3,3,11
120903,125,1,3,3,9
130901,57,1,3,3,17
130901,57,1,3,3,13
130901,57,1,2,3,11
130901,57,1,3,3,7
130901,173,1,2,5,15
150125,30,1,3,3,13
150125,58,1,3,3,7
150135,37,2,5,3,8
150135,82,1,4,4,16
150135,82,2,3,3,9
150135,148,2,3,3,10
150118,112,2,5,3,14
150118,142,2,3,3,14
150118,142,2,4,5,7
150115,153,1,3,3,15
150115,40,1,4,4,8
150115,134,2,3,3,16
150115,134,2,4,4,13
150501,86,2,3,3,13
160301,2,1,3,3,16
160301,2,1,3,3,14
160301,2,1,3,3,11
160301,2,1,3,3,7
160301,2,1,3,3,17
160301,2,1,3,3,8
160301,22,1,3,3,10
160301,22,1,3,3,8
160301,45,1,3,3,16
160301,45,1,2,3,14
160301,45,1,3,3,11
160301,45,1,3,3,8
160301,45,1,3,3,6
160301,101,1,3,3,13
160301,101,1,3,3,11
160301,156,1,2,3,13
170101,201,2,4,4,15
170101,2,1,3,3,15
170101,2,1,3,3,11
170101,104,1,3,3,9
180101,113,1,3,4,12
190113,48,1,3,3,13
190113,48,1,2,3,7
190103,13,1,3,3,10
190103,36,1,2,3,11
190103,80,1,3,3,16
190103,80,1,3,3,14
190103,80,1,3,3,7
200605,138,2,3,3,12
210101,30,1,3,3,17
210101,30,1,4,3,15
210101,44,1,3,4,14
210101,44,1,2,3,9
210101,70,1,3,3,15
210101,70,1,3,3,10
210705,13,1,3,3,9
210705,23,1,3,3,15
210705,23,1,3,3,13
210705,23,1,3,3,9
210705,23,1,3,3,7
210705,43,1,3,3,15
210705,43,1,3,3,8
210108,244,1,3,4,16
210108,244,1,2,3,14
210108,244,1,3,1,11
220807,43,1,3,3,7
220807,119,1,3,3,9
220807,121,1,3,3,6
220807,122,1,2,3,10
220807,122,1,2,3,8
220602,9,1,1,3,12
220602,9,1,1,3,10
220602,206,1,3,3,8
220602,208,1,2,2,11
220602,209,1,1,2,16
220602,209,1,3,3,15
220602,211,1,2,3,10
220602,211,1,2,2,8
230110,18,1,3,3,10
230110,88,1,5,3,6
230108,99,1,3,5,16
230108,99,1,3,3,10
230108,102,1,3,3,12
250107,50,1,3,3,16
250107,50,1,3,3,12
250107,95,2,3,3,17
250107,124,1,3,3,15
240101,38,1,2,3,13
240101,38,1,3,3,10
21801,23,1,3,2,14
21801,23,1,2,3,12
21809,2,2,3,3,8
21809,32,2,3,3,10
21809,92,1,3,3,12
22008,13,1,3,3,11
22008,14,1,3,3,7
22008,15,1,3,4,13
22008,81,1,3,3,11
150118,39,2,3,3,10
150115,55,1,3,3,16
110106,13,2,3,3,15
110106,13,2,3,3,9
130901,80,1,2,3,11
130901,80,1,2,2,9
130901,80,1,1,1,7
130901,98,1,3,3,15
130901,98,1,3,3,11
110103,69,2,4,4,12
110103,70,1,3,3,16
110103,70,1,3,3,14
10110,19,1,5,3,11
10110,69,1,3,3,16
10201,137,1,3,3,6
10201,59,1,2,2,12
10201,59,1,3,3,6
10201,76,1,3,3,12
10201,76,1,3,3,9
10201,76,1,3,3,8
10201,94,1,3,3,12
10201,94,1,3,3,7
10101,100,1,3,2,17
10101,102,1,5,5,12
10101,104,1,3,3,8
10101,105,1,3,4,15
10701,44,1,3,1,16
10701,114,1,3,3,9
10701,116,1,3,4,15
10403,13,1,2,4,6
10403,14,1,3,3,7
10403,15,1,3,3,14
10403,16,1,3,3,6
10403,97,1,2,3,8
10403,98,1,3,3,13
10403,99,1,3,3,6
10403,100,1,3,3,13
10403,100,1,3,3,11
10403,100,1,3,3,7
21801,21,2,3,3,15
21801,21,2,3,3,10
21801,78,2,3,3,12
21801,120,1,3,3,11
21801,135,1,3,3,14
21807,4,1,3,3,14
21807,4,1,3,3,8
21807,17,2,4,3,12
21807,17,2,3,3,8
21807,86,1,5,3,8
20801,17,1,3,3,10
20801,17,1,3,3,8
20801,36,1,3,3,11
20801,61,1,3,3,13
20801,61,1,3,2,8
20801,61,1,3,3,6
21104,49,1,3,3,6
21104,51,1,3,3,7
21104,122,1,3,3,6
20105,29,1,3,3,10
21004,112,1,2,3,8
20702,15,1,3,3,16
20702,15,1,3,3,11
20702,15,1,3,3,6
20702,52,1,3,3,14
20702,52,1,3,3,11
20702,52,1,3,3,9
20702,52,1,3,3,8
20702,62,1,3,4,16
20702,62,1,3,3,11
20702,71,1,3,3,14
20702,71,1,3,3,10
20101,15,1,3,4,9
20101,121,1,3,4,14
20101,123,1,3,3,12
30101,44,1,3,3,11
30220,14,1,5,5,13
30220,80,1,5,5,15
30416,24,1,3,3,14
30416,90,1,3,3,15
30416,90,1,3,3,12
30416,93,1,3,3,14
40107,117,2,4,3,9
40104,138,2,3,3,12
40104,138,2,4,4,9
40104,138,2,4,4,8
40103,10,2,5,3,6
40103,19,2,3,3,16
40103,19,1,3,3,9
40103,46,1,3,2,9
40103,46,2,3,4,12
40103,59,1,3,4,14
40103,85,1,3,4,15
40117,22,1,3,3,13
40117,78,1,2,3,13
40117,78,1,3,5,6
40117,91,2,3,3,12
40117,91,2,3,3,10
40122,10,2,3,3,14
40122,87,2,4,4,16
40122,87,2,4,3,11
40122,97,2,4,4,15
40104,76,2,3,3,9
40104,76,2,3,3,7
40104,95,1,3,4,12
40107,55,2,3,3,11
40107,55,2,3,3,6
40107,72,2,5,3,8
40107,72,2,3,3,6
40107,89,2,5,4,17
40401,19,2,3,4,6
40401,39,1,4,4,13
40401,49,1,3,3,15
40401,49,1,3,4,13
40401,85,2,5,3,7
40307,4,2,4,5,8
40108,46,1,3,3,15
40108,46,1,4,4,13
40108,46,1,2,3,12
40108,104,1,1,2,8
40108,118,1,3,3,7
40108,118,1,4,4,17
40108,118,1,3,3,13
40207,17,1,5,2,7
40207,19,1,5,3,6
40207,20,1,5,3,9
40207,20,1,5,3,6
40207,240,1,3,5,13
40207,240,1,5,3,7
40207,240,1,5,3,7
40207,242,1,5,3,12
40207,244,1,5,3,14
40207,244,1,5,3,12
40408,37,1,2,2,10
40408,57,1,3,4,16
40408,67,1,4,4,9
50110,99,2,3,2,15
50110,99,2,3,3,12
50110,99,2,3,3,10
50110,136,1,2,3,14
50110,90,2,3,3,16
50705,13,1,2,3,11
50705,13,1,3,3,8
50705,27,1,3,3,8
50705,38,1,3,3,10
50705,94,2,3,3,15
50705,94,2,2,3,6
50705,108,1,3,3,15
50705,108,1,3,3,7
50406,72,1,3,3,10
50406,74,1,3,3,9
50406,74,1,3,3,7
50406,76,1,3,4,14
50406,76,1,3,4,12
50406,76,1,3,3,7
50406,77,1,2,3,10
50406,77,1,2,3,6
50406,78,1,3,4,13
50406,80,1,3,3,14
50111,138,1,3,3,15
50111,143,1,2,3,14
50111,143,1,2,3,10
51106,133,1,3,3,10
51106,133,1,3,3,6
50405,9,1,3,3,6
50405,10,1,3,3,9
50405,10,1,3,3,6
50405,86,1,3,3,11
50405,90,1,3,3,17
50405,90,1,3,3,13
51105,50,1,3,3,14
51105,104,1,3,3,12
51105,104,1,3,3,11
51105,104,1,3,3,8
60101,26,1,3,3,17
60101,41,1,3,3,10
60101,71,2,3,2,7
60101,12,2,4,4,7
60101,39,1,3,3,13
60101,39,1,3,4,7
60101,67,2,3,3,15
60101,67,2,3,3,6
60201,3,1,3,3,13
60201,25,1,3,4,14
60201,53,1,3,5,13
60201,53,1,3,3,12
60201,88,1,3,3,11
60801,21,1,5,3,11
60801,21,1,5,5,9
60801,21,1,5,5,6
60801,38,1,4,3,11
60801,6,1,3,3,11
60801,50,1,3,3,10
60107,73,1,3,3,6
60107,273,2,3,4,12
60107,273,2,3,3,8
60201,45,1,3,4,16
60201,47,1,4,4,13
60201,47,1,4,4,13
60201,112,1,2,2,10
60201,115,1,3,3,7
60201,116,1,3,4,13
60201,116,1,3,3,11
60104,148,1,3,3,15
60104,148,1,4,3,13
60104,148,1,3,2,6
60104,149,1,3,3,15
60104,150,1,3,3,17
60104,150,1,3,3,13
60104,152,1,2,3,7
60104,152,1,2,3,6
60419,14,1,2,3,14
60419,20,1,2,3,6
60419,74,1,3,3,11
70101,58,1,3,3,15
70101,95,2,3,3,13
70101,95,2,3,3,14
70101,95,2,3,3,10
70101,95,2,3,3,12
70106,16,1,3,3,11
70106,16,1,3,3,9
70106,33,1,3,3,8
70106,48,1,3,4,9
70106,64,1,5,3,7
70104,85,2,3,3,15
70104,160,2,3,4,11
70103,43,2,3,3,8
70103,91,1,3,5,6
70101,8,1,3,3,13
70101,8,1,5,4,7
70101,25,2,3,3,15
70101,45,2,5,4,16
70101,45,2,3,3,13
70101,82,2,3,3,7
70101,94,2,3,3,15
70101,94,2,3,3,9
70101,94,2,3,3,6
70101,15,2,3,3,15
70101,28,1,3,3,16
70107,4,1,2,2,8
70107,49,1,3,3,12
70107,49,2,3,3,12
70107,80,1,3,3,6
70107,80,1,3,3,10
70107,95,2,5,5,16
70106,5,1,5,5,14
70106,27,2,5,3,6
70106,24,1,3,3,10
70106,24,1,3,3,8
70106,48,1,3,3,9
70106,98,1,3,3,16
70106,98,1,3,3,13
70106,98,2,3,3,11
70106,122,1,2,2,10
70106,122,1,2,2,7
70106,171,1,2,2,16
70106,19,2,3,3,9
70106,19,2,3,3,14
70106,57,1,3,3,6
70106,95,1,4,4,13
70106,95,1,3,3,7
70106,106,1,2,3,13
80101,132,2,4,3,15
80108,2,2,3,4,6
80108,6,2,3,4,16
80108,124,2,3,3,14
80108,153,2,3,4,13
80104,61,2,5,3,16
80104,61,1,2,3,14
80104,61,1,3,3,12
80104,61,1,3,4,9
80104,61,1,2,3,8
80701,5,1,3,2,16
80801,61,2,3,3,15
80801,61,2,3,3,11
80801,61,2,3,3,9
80703,424,2,5,4,17
80902,26,1,4,4,13
80902,26,1,3,3,7
80902,98,1,3,3,13
90101,113,1,3,3,9
90201,2,1,2,3,17
90201,70,1,3,3,7
90301,69,1,2,3,14
90206,173,1,2,3,7
90117,126,1,2,3,15
90117,126,1,3,3,14
90117,126,1,2,2,12
90117,126,1,3,3,11
90117,126,1,2,2,9
90117,127,1,3,3,14
90117,127,1,2,3,12
90117,128,1,2,3,15
90117,128,1,3,3,12
90117,433,1,2,3,14
90117,433,1,1,5,8
90117,435,1,2,3,11
90704,49,2,3,3,14
90704,60,1,3,3,9
90103,34,1,2,3,15
90719,2,1,4,3,7
90719,2,1,3,3,14
90719,17,1,3,3,11
90719,48,1,2,3,7
90719,55,1,5,4,13
90719,55,1,3,3,10
90719,55,1,2,3,8
90719,70,1,3,3,14
90719,70,1,4,3,11
90719,70,1,3,5,6
90719,70,1,3,5,8
90719,84,1,3,3,10
100102,116,2,3,3,11
100111,8,1,3,3,16
100111,8,1,3,3,13
100111,8,1,3,3,9
100701,54,1,3,3,8
100701,54,1,3,3,16
100507,7,1,3,3,15
100601,16,2,3,3,13
100205,25,1,3,3,7
100205,27,1,3,3,9
100205,61,1,3,3,14
100205,61,1,3,3,11
100205,61,1,3,3,6
101001,72,1,2,3,15
101001,72,1,3,3,10
101001,82,1,3,4,13
101001,82,1,3,3,8
101005,2,1,3,3,17
101005,3,1,3,3,16
101005,4,1,3,3,15
101005,33,1,3,2,11
101005,34,1,2,3,17
101005,35,1,4,4,15
101005,35,1,3,3,13
101005,35,1,3,3,8
100109,252,1,3,3,16
100109,255,1,3,3,11
100109,255,1,3,3,7
100109,256,1,3,3,8
100104,209,1,2,3,12
110101,144,2,3,3,16
110101,144,2,3,3,15
110102,34,2,4,4,6
110102,22,1,3,3,6
110102,51,2,3,3,13
110102,139,1,3,3,12
110401,120,1,3,3,11
110401,140,1,3,3,11
110401,140,1,3,3,16
110202,22,1,3,3,15
110202,22,1,3,3,12
110205,29,1,3,3,14
110205,29,1,3,3,13
110205,29,1,3,3,6
110205,73,1,3,3,14
110501,133,1,3,3,14
110501,9,2,3,3,8
110501,57,2,3,3,17
110111,34,2,3,4,8
110111,50,2,3,3,7
110111,139,1,2,3,14
120114,14,1,3,3,16
120107,66,2,3,4,15
120107,78,2,3,4,11
120107,78,2,3,4,9
120107,91,1,3,3,11
120114,150,2,3,5,8
120701,25,1,3,3,8
120701,84,2,3,3,12
120701,84,2,3,3,11
120701,84,2,3,3,7
120701,142,2,3,3,15
120701,142,1,3,3,10
120701,142,1,3,3,8
120301,7,2,3,3,11
120301,7,2,3,3,8
120301,81,1,3,3,17
120606,112,1,2,3,14
120606,112,1,3,3,11
120406,14,1,2,3,13
120406,14,1,3,3,8
