UBIGEO,INTERNET,INTERNET_CELULAR
240201,1,1
240201,1,1
240201,2,1
240201,1,1
240201,2,1
240201,2,1
240201,2,2
240201,2,1
240201,2,2
240201,2,1
240201,2,2
240201,2,2
240201,2,1
240201,2,2
240201,2,1
240201,2,2
240201,2,1
240201,1,1
240202,2,2
240202,2,1
240202,2,2
240202,2,1
240202,2,2
240202,2,2
240202,2,1
240202,2,1
240202,2,2
240202,2,2
240202,2,1
240202,2,1
240202,2,1
240202,2,1
240202,2,1
240202,2,1
240101,2,2
240101,1,2
240101,2,1
240101,2,2
240101,2,2
240101,2,1
240101,2,2
240101,1,1
240101,2,2
240101,1,1
240101,2,2
240101,2,2
240101,2,1
240101,1,1
240101,1,1
240101,2,1
240101,2,1
240101,1,1
240101,1,1
240101,1,1
240101,1,1
240101,1,1
240101,1,1
240101,2,1
240101,2,2
240101,1,1
240101,2,2
240101,1,1
240101,1,2
240101,1,1
240101,1,1
240101,1,1
240101,1,1
240101,1,1
240101,2,1
240101,1,1
240101,2,1
240101,,
240101,1,1
240101,2,1
240101,1,1
240101,2,1
240101,1,1
240101,2,1
240101,1,1
240101,2,1
240101,2,1
240101,1,1
240101,2,1
240101,1,1
240101,1,1
240101,1,1
240101,2,1
240101,2,2
240101,2,1
240101,2,1
240101,2,2
240101,2,1
240101,2,1
240101,2,1
240101,1,1
240101,1,1
240101,2,2
240101,2,1
240101,2,1
240101,,
240101,2,1
240101,2,1
240101,2,2
240101,2,1
240101,2,1
240101,1,1
240101,1,1
240101,2,2
240101,1,1
240101,2,2
240101,1,1
240101,1,1
240101,2,1
240101,2,2
240101,2,1
240101,2,2
240101,2,2
240101,2,2
240101,2,1
240101,2,2
240101,2,2
240101,2,1
240101,2,2
240101,1,1
240101,1,1
240101,1,1
240101,2,1
240101,2,1
240101,2,1
240101,2,2
240101,2,2
240101,1,1
240101,2,2
240101,2,1
240101,2,1
240101,2,1
240101,2,1
240101,2,2
240101,2,1
240101,2,1
240101,2,2
240101,2,2
240101,1,1
240101,2,1
240101,1,1
240101,2,1
240101,1,1
240101,2,1
240101,2,2
240101,1,1
240101,1,1
240101,2,1
240101,2,1
240101,2,1
240101,1,1
240101,2,2
240101,2,1
240101,2,2
240101,1,2
240101,1,2
240101,1,2
240101,1,1
240101,1,1
240101,1,1
240101,2,1
240101,2,2
240101,1,1
240101,1,1
240101,2,1
240101,2,2
240101,2,2
240101,2,1
240101,1,2
240101,1,2
240101,2,2
240101,1,1
240101,1,1
240101,1,1
240101,1,1
240101,1,1
240101,1,1
240101,,
240101,2,1
240101,2,2
240101,2,1
240101,2,1
240101,1,1
240101,1,1
240101,2,1
240101,1,1
240101,1,1
240101,2,1
240101,2,1
240101,1,2
240101,1,1
240101,2,2
240101,2,2
240101,1,1
240101,2,2
240101,2,1
240101,1,1
240101,2,2
240101,2,1
240101,2,2
240101,1,1
240101,2,2
240101,1,2
240101,2,2
240101,1,1
240101,1,1
240101,1,1
240101,1,1
240101,2,1
240101,2,1
240101,1,2
240101,2,2
240101,2,1
240101,1,1
240101,2,2
240101,1,1
240101,2,2
240101,2,2
240103,1,1
240103,2,2
240103,2,2
240103,2,2
240103,2,2
240103,2,2
240103,1,1
240103,2,2
240103,1,1
240103,1,1
240103,2,2
240103,2,1
240103,2,2
240103,2,2
240103,2,1
240103,2,1
240103,2,2
240103,2,2
240103,2,1
240103,2,2
240103,2,1
240103,2,1
240103,2,2
240103,2,2
240103,2,1
240103,2,2
240103,2,1
240103,2,2
240102,2,1
240102,2,2
240102,2,2
240102,2,2
240102,2,2
240102,2,2
240102,2,2
240102,2,1
240102,2,1
240102,1,1
240102,2,1
240102,1,1
240102,2,2
240102,2,1
240102,1,1
240102,1,1
240102,2,2
240102,2,2
240102,2,1
240102,2,2
240102,2,2
240102,2,1
240102,1,1
240102,1,1
240102,2,2
240102,1,1
240102,2,2
240102,2,2
240102,2,2
240102,2,2
240102,2,1
240102,2,2
240102,2,2
240102,2,2
240102,2,1
240102,2,1
240102,2,1
240102,2,2
240102,2,2
240102,2,1
240102,1,1
240102,2,1
240102,2,2
240102,2,1
240102,2,2
240102,2,1
240102,2,2
240102,2,2
240102,2,2
240102,2,2
240102,2,2
240104,2,2
240104,2,2
240104,2,1
240104,2,2
240104,2,1
240104,2,2
240104,2,1
240104,2,1
240104,2,2
240104,2,1
240104,2,2
240104,2,2
240104,2,1
240104,1,2
240104,2,2
240104,2,1
240104,2,2
240104,2,1
240104,2,1
240104,2,2
240104,2,2
240104,2,2
240104,2,1
240104,2,2
240104,2,1
240104,2,2
240104,2,2
240104,2,2
240104,2,1
240104,2,1
240104,2,1
240104,2,2
240104,2,2
240104,2,2
240301,1,1
240301,2,1
240301,2,1
240301,2,2
240301,1,1
240301,2,1
240301,2,2
240301,1,1
240301,1,1
240301,2,1
240301,2,1
240301,1,1
240301,2,1
240301,2,2
240301,2,1
240301,1,1
240301,2,2
240301,2,1
240301,2,1
240301,2,2
240301,1,1
240301,2,2
240301,2,2
240301,2,2
240301,1,1
240301,1,1
240301,1,1
240301,2,2
240301,2,1
240301,2,2
240301,2,1
240301,1,1
240301,2,2
240302,2,2
240302,2,2
240302,2,1
240302,1,2
240302,1,1
240302,1,1
240302,2,2
240302,2,2
240302,2,2
240302,1,1
240302,2,1
240302,2,1
240302,1,1
240302,1,1
240302,2,1
240302,2,1
240302,1,1
240302,2,2
240302,1,1
240302,2,1
240302,2,2
240302,2,1
240304,2,1
240304,1,1
240304,2,1
240304,2,1
240304,2,1
240304,2,2
240304,2,1
240304,2,1
240304,1,1
240304,2,1
240304,2,2
240304,2,1
240304,2,1
240304,2,2
240304,2,2
240304,2,1
240304,2,2
240304,2,2
240304,2,1
240304,2,2
240304,2,1
240304,2,1
240304,2,2
240304,2,2
240304,2,1
240304,2,2
200701,2,1
200701,1,1
200701,1,1
200701,2,2
200701,1,1
200701,2,1
200701,2,1
200701,1,1
200701,1,1
200701,2,2
200701,2,1
200701,2,1
200701,2,1
200701,1,1
200701,2,1
200701,2,1
200701,2,1
200701,2,1
200701,2,1
200701,2,1
200701,1,2
200701,2,1
200701,1,1
200701,1,1
200701,2,1
200701,2,2
200701,2,1
200701,2,2
200701,2,1
200705,1,1
200705,1,1
200705,1,2
200705,1,1
200705,2,1
200705,1,1
200705,2,1
200705,2,2
200705,2,2
200705,2,2
200705,1,1
200705,1,1
200705,2,1
200705,2,2
200705,,
200705,2,2
200705,1,2
200501,2,1
200501,2,1
200501,1,1
200501,1,1
200501,1,1
200501,1,1
200501,1,1
200501,1,1
200501,2,2
200501,2,1
200501,2,2
200501,2,2
200501,2,2
200501,2,2
200501,2,1
200501,1,1
200501,2,2
200501,2,2
200501,2,1
200501,2,1
200501,2,1
200501,1,1
200501,1,1
200501,2,1
200501,1,1
200501,2,1
200501,2,1
200501,1,1
200501,2,1
200501,2,1
200501,2,1
200501,2,1
200501,1,1
200501,2,1
200501,2,1
200501,2,1
200501,2,2
200501,2,1
200501,2,1
200501,2,2
200501,2,2
200501,2,1
200501,2,1
200501,2,1
200501,2,1
200506,2,1
200506,2,1
200506,2,1
200506,2,1
200506,2,1
200506,2,1
200506,2,1
200506,1,1
200506,2,2
200506,1,1
200602,2,2
200602,1,1
200602,2,1
200602,1,1
200602,2,1
200602,1,1
200602,2,1
200602,1,1
200601,2,1
200601,2,2
200601,1,1
