EDAD,UBIGEO,BIBLIOTECA,PRACTICA_LECTURA,IDIOMA,PERS_NRO,ESTRATOSOCIO,MATRICULADO
6,240201,No,3,10,4,4,Sí
11,240201,No,2,10,4,3,Sí
14,240203,No,2,10,3,5,Sí
13,240203,No,2,10,4,5,Sí
9,240203,Sí,3,10,5,5,Sí
7,240203,No,8,10,4,5,Sí
11,240203,No,2,10,3,5,Sí
8,240203,No,2,10,4,5,Sí
11,240203,No,2,10,4,4,Sí
13,240203,Sí,5,10,2,4,Sí
12,240203,No,3,10,3,4,Sí
10,240203,No,8,10,4,4,Sí
7,240203,No,5,14,5,4,Sí
14,240101,No,2,10,3,5,Sí
9,240101,No,2,10,4,5,Sí
7,240101,No,4,10,3,5,Sí
9,240101,No,8,10,5,5,Sí
13,240101,No,3,10,5,3,Sí
11,240101,No,2,10,3,3,Sí
9,240101,No,2,10,4,3,Sí
6,240101,No,8,10,5,3,Sí
17,240101,No,8,10,3,3,Sí
17,240101,No,2,10,4,1,Sí
15,240101,No,2,10,3,1,Sí
6,240101,No,2,10,4,1,Sí
10,240101,No,4,10,6,1,Sí
16,240101,No,1,10,3,2,Sí
10,240101,No,3,10,4,1,Sí
12,240101,No,3,10,3,3,Sí
7,240101,No,3,10,4,3,Sí
6,240101,No,1,10,3,2,Sí
15,240101,Sí,8,10,3,4,Sí
8,240101,No,2,10,3,4,Sí
7,240101,Sí,3,10,3,3,Sí
17,240101,Sí,3,10,2,3,Sí
6,240101,No,8,10,3,4,Sí
14,240101,No,2,10,2,1,Sí
7,240101,No,3,10,3,1,Sí
10,240101,No,3,10,4,1,Sí
10,240101,No,2,10,3,3,Sí
8,240101,No,3,10,4,3,Sí
7,240101,No,8,10,5,3,Sí
10,240101,No,3,10,5,3,Sí
13,240101,No,2,10,5,3,Sí
16,240101,No,1,10,4,4,Sí
7,240101,No,4,10,5,4,Sí
10,240101,Sí,2,10,3,4,Sí
6,240101,Sí,3,10,4,4,Sí
12,240101,No,2,10,2,1,Sí
9,240101,No,1,10,3,1,Sí
7,240101,No,1,10,4,1,Sí
6,240101,No,8,10,3,1,Sí
15,240101,No,2,10,5,1,Sí
6,240101,No,2,10,6,1,Sí
10,240101,No,2,10,4,1,Sí
6,240101,No,3,10,5,1,Sí
7,240101,No,2,10,3,1,Sí
15,240101,Sí,1,10,3,3,Sí
8,240101,Sí,1,10,3,3,Sí
7,240101,Sí,1,10,3,3,Sí
8,240101,No,2,10,3,4,Sí
8,240101,No,3,10,2,1,Sí
10,240103,No,2,10,4,3,Sí
7,240103,No,3,10,3,3,Sí
13,240103,No,3,10,3,3,Sí
10,240103,No,3,10,4,3,Sí
6,240103,No,3,10,4,4,Sí
16,240103,No,2,10,2,4,Sí
9,240103,No,2,10,4,4,Sí
17,240103,No,2,10,4,4,Sí
14,240103,No,3,10,5,4,Sí
11,240103,No,2,10,6,4,Sí
9,240103,No,1,10,7,4,Sí
16,240103,No,2,10,4,4,Sí
10,240103,No,3,10,5,4,Sí
7,240103,No,3,10,7,4,Sí
8,240103,No,2,10,2,4,Sí
6,240102,No,2,10,3,5,Sí
15,240102,No,2,10,4,3,Sí
12,240102,No,1,10,5,3,Sí
10,240102,No,2,10,6,3,Sí
12,240102,No,3,10,6,3,Sí
10,240102,No,3,10,2,3,Sí
15,240102,Sí,2,10,2,4,Sí
10,240102,Sí,2,10,3,4,Sí
6,240102,No,2,10,5,5,Sí
8,240102,No,1,10,4,5,Sí
6,240102,No,2,10,4,4,Sí
7,240102,No,2,10,3,5,Sí
12,240104,Sí,8,10,2,4,Sí
10,240104,Sí,8,10,3,4,Sí
10,240104,No,2,10,4,4,Sí
12,240104,Sí,2,10,2,4,Sí
11,240104,No,2,10,2,3,Sí
11,240104,No,2,10,2,5,Sí
11,240104,No,3,10,4,5,Sí
9,240104,No,4,10,4,5,Sí
10,240104,No,1,10,4,6,Sí
8,240104,No,2,10,5,6,Sí
8,240104,No,3,10,3,6,Sí
11,240104,No,3,10,5,6,Sí
11,240104,No,2,10,3,6,Sí
8,240301,No,2,10,3,5,Sí
6,240301,No,2,10,4,5,Sí
12,240301,No,3,10,3,5,Sí
7,240301,No,1,10,4,5,Sí
8,240301,Sí,2,10,3,5,Sí
11,240301,No,2,10,3,5,Sí
6,240301,No,4,10,3,5,Sí
12,240301,No,3,10,5,4,Sí
8,240301,No,2,10,5,4,Sí
17,240301,No,2,10,3,2,Sí
9,240301,No,2,10,4,2,Sí
8,240301,No,3,10,5,2,Sí
7,240301,No,2,10,6,2,Sí
16,240301,No,2,10,3,2,Sí
15,240301,No,2,10,4,2,Sí
10,240301,No,2,10,5,2,Sí
10,240301,No,2,10,3,2,Sí
7,240301,No,2,10,4,2,Sí
11,240302,No,3,10,4,4,Sí
10,240302,No,3,10,6,4,Sí
6,240302,No,8,10,3,4,Sí
7,240302,No,1,10,2,4,Sí
12,240302,No,4,10,3,5,Sí
15,240304,No,1,10,3,4,Sí
6,240304,No,2,10,2,6,Sí
17,240304,No,3,10,5,6,Sí
8,240304,No,1,10,3,6,Sí
11,200701,No,1,10,4,2,Sí
7,200701,No,2,10,5,2,Sí
16,200701,No,1,10,4,3,Sí
12,200701,No,2,10,5,3,Sí
9,200701,No,2,10,5,3,Sí
16,200701,No,4,10,7,3,Sí
13,200701,No,3,10,8,3,Sí
15,200701,No,3,10,3,3,Sí
13,200701,No,3,10,4,3,Sí
12,200701,No,4,10,3,3,Sí
9,200701,No,4,10,4,3,Sí
13,200701,No,1,10,3,3,Sí
9,200701,No,1,10,4,3,Sí
15,200701,No,3,10,2,4,Sí
10,200701,No,3,10,3,4,Sí
16,200701,No,2,10,4,4,Sí
6,200701,No,2,10,4,4,Sí
15,200701,No,3,10,4,4,Sí
11,200701,No,2,10,3,4,Sí
8,200701,No,2,10,3,4,Sí
16,200701,No,5,10,2,3,Sí
13,200701,No,4,10,6,3,Sí
12,200701,No,2,10,4,3,Sí
16,200701,No,1,10,3,3,Sí
13,200701,Sí,8,10,2,3,Sí
8,200701,No,2,10,6,3,Sí
12,200705,No,2,10,4,2,Sí
9,200705,No,2,10,4,2,Sí
8,200705,No,2,10,5,2,Sí
9,200705,No,3,10,4,2,Sí
7,200705,No,1,10,5,2,Sí
