UBIGEO,VIVIENDA,AguaAcceso,Electricidad
10101,3,1,1
10101,12,1,1
10101,22,1,1
10101,50,1,1
10101,56,1,1
10101,84,1,1
10101,98,1,1
10101,126,1,1
10201,6,1,1
10201,18,2,1
10201,44,2,1
10201,55,1,1
10201,65,1,1
10201,78,1,1
10201,8,2,1
10201,17,2,1
10201,33,1,1
10201,50,1,1
10201,59,1,1
10206,14,1,1
10206,32,1,1
10206,52,1,1
10206,72,1,1
10206,89,1,1
10701,11,2,1
10701,34,2,1
10701,40,2,1
10701,48,2,1
10701,22,2,1
10701,83,2,1
10701,101,2,1
10701,114,2,1
10701,4,2,1
10701,13,2,1
10701,33,2,1
10701,40,2,1
10701,47,2,1
10701,56,2,1
10701,3,1,1
10701,9,1,1
10701,19,1,1
10701,24,1,1
10701,28,1,1
10701,35,1,1
10502,10,1,1
10502,22,1,1
10502,34,1,1
10502,70,1,1
10502,83,1,1
10601,1,1,1
10601,45,1,1
10601,87,1,1
10601,113,1,1
10401,15,1,1
10401,16,1,1
10401,61,1,1
10401,63,1,1
10401,64,1,1
10401,65,1,0
10401,66,1,0
10202,31,1,0
10202,91,1,0
10202,93,1,0
10202,94,1,0
10202,97,1,0
10202,98,1,0
10202,99,1,0
10202,100,1,0
10202,16,1,1
10202,17,1,1
10202,18,1,1
10202,22,1,1
10202,9,1,0
10202,55,1,1
10202,57,1,0
10202,58,1,1
10202,60,1,0
10202,61,1,1
10701,69,1,1
10701,70,2,1
10701,71,1,1
10701,72,2,1
10701,192,1,1
10701,198,1,1
10705,109,1,1
10705,110,1,1
10705,111,1,1
10705,112,1,1
10705,224,1,1
10705,226,1,1
10705,35,1,1
10705,36,1,1
10705,37,1,1
10705,38,1,1
10705,115,1,1
10705,116,2,1
10705,118,2,1
10512,1,2,1
10512,24,2,1
10512,35,2,0
10512,57,2,1
10512,68,1,1
10512,89,1,1
10520,1,1,1
10520,3,1,1
10520,4,1,1
10520,128,1,1
10520,137,1,1
10510,2,1,1
10510,30,1,1
10510,48,1,1
10510,82,1,1
10510,96,1,1
10513,25,1,1
10513,28,1,1
10513,111,1,1
10513,118,1,1
10513,119,1,1
10513,120,1,1
10514,26,1,1
10514,27,1,1
10514,28,1,1
10514,89,1,1
10514,93,1,1
10514,94,1,1
21801,6,1,1
21801,39,1,1
21801,58,1,1
21801,90,1,1
21801,107,1,1
21801,139,1,1
21801,6,1,1
21801,19,1,1
21801,42,1,1
21801,52,1,1
21801,64,1,1
21801,87,1,1
21801,98,1,1
21801,11,1,1
21801,23,1,1
21801,33,1,1
21801,45,1,1
21801,57,1,1
21801,70,1,1
21801,101,1,1
21801,113,1,1
21801,12,1,1
21801,39,1,1
21801,52,1,1
21801,78,1,1
21801,93,1,1
21801,117,1,1
21801,1,1,1
21801,19,1,1
21801,37,1,1
21801,55,1,1
21801,88,1,1
21801,124,1,1
21801,124,1,1
21801,9,1,1
21801,9,1,1
21801,24,1,1
21801,59,1,1
21801,72,1,1
21801,85,1,1
21801,101,1,1
21801,28,1,1
21801,38,1,1
21801,50,1,1
21801,61,1,1
21801,73,1,1
21801,83,1,1
21801,93,1,1
21801,116,1,1
21809,13,1,1
21809,25,1,1
21809,38,1,1
21809,51,1,1
